Departamento,Provincia,Distrito,Sexo,Edad,Donacion,Cantidad
Cajamarca,Cutervo,Socota,Hombre,23,NE,41
Cajamarca,Cutervo,Socota,Hombre,24,SI,5
Cajamarca,Cutervo,Socota,Hombre,24,NO,52
Cajamarca,Cutervo,Socota,Hombre,24,NE,47
Cajamarca,Cutervo,Socota,Hombre,25,SI,2
Cajamarca,Cutervo,Socota,Hombre,25,NO,54
Cajamarca,Cutervo,Socota,Hombre,25,NE,28
Cajamarca,Cutervo,Socota,Mujer,18,SI,1
Cajamarca,Cutervo,Socota,Mujer,18,NO,18
Cajamarca,Cutervo,Socota,Mujer,18,NE,80
Cajamarca,Cutervo,Socota,Mujer,19,NO,27
Cajamarca,Cutervo,Socota,Mujer,19,NE,67
Cajamarca,Cutervo,Socota,Mujer,20,SI,1
Cajamarca,Cutervo,Socota,Mujer,20,NO,19
Cajamarca,Cutervo,Socota,Mujer,20,NE,85
Cajamarca,Cutervo,Socota,Mujer,21,SI,3
Cajamarca,Cutervo,Socota,Mujer,21,NO,31
Cajamarca,Cutervo,Socota,Mujer,21,NE,75
Cajamarca,Cutervo,Socota,Mujer,22,SI,1
Cajamarca,Cutervo,Socota,Mujer,22,NO,26
Cajamarca,Cutervo,Socota,Mujer,22,NE,66
Cajamarca,Cutervo,Socota,Mujer,23,SI,8
Cajamarca,Cutervo,Socota,Mujer,23,NO,35
Cajamarca,Cutervo,Socota,Mujer,23,NE,51
Cajamarca,Cutervo,Socota,Mujer,24,SI,1
Cajamarca,Cutervo,Socota,Mujer,24,NO,40
Cajamarca,Cutervo,Socota,Mujer,24,NE,50
Cajamarca,Cutervo,Socota,Mujer,25,SI,3
Cajamarca,Cutervo,Socota,Mujer,25,NO,56
Cajamarca,Cutervo,Socota,Mujer,25,NE,37
Cajamarca,Chota,Chota,Hombre,18,SI,1
Cajamarca,Chota,Chota,Hombre,18,NO,66
Cajamarca,Chota,Chota,Hombre,18,NE,383
Cajamarca,Chota,Chota,Hombre,19,SI,6
Cajamarca,Chota,Chota,Hombre,19,NO,121
Cajamarca,Chota,Chota,Hombre,19,NE,314
Cajamarca,Chota,Chota,Hombre,20,SI,8
Cajamarca,Chota,Chota,Hombre,20,NO,101
Cajamarca,Chota,Chota,Hombre,20,NE,314
Cajamarca,Chota,Chota,Hombre,21,SI,12
Cajamarca,Chota,Chota,Hombre,21,NO,133
Cajamarca,Chota,Chota,Hombre,21,NE,310
Cajamarca,Chota,Chota,Hombre,22,SI,12
Cajamarca,Chota,Chota,Hombre,22,NO,178
Cajamarca,Chota,Chota,Hombre,22,NE,249
Cajamarca,Chota,Chota,Hombre,23,SI,13
Cajamarca,Chota,Chota,Hombre,23,NO,163
Cajamarca,Chota,Chota,Hombre,23,NE,196
Cajamarca,Chota,Chota,Hombre,24,SI,20
Cajamarca,Chota,Chota,Hombre,24,NO,226
Cajamarca,Chota,Chota,Hombre,24,NE,201
Cajamarca,Chota,Chota,Hombre,25,SI,17
Cajamarca,Chota,Chota,Hombre,25,NO,272
Cajamarca,Chota,Chota,Hombre,25,NE,122
Cajamarca,Chota,Chota,Mujer,18,SI,6
Cajamarca,Chota,Chota,Mujer,18,NO,49
Cajamarca,Chota,Chota,Mujer,18,NE,402
Cajamarca,Chota,Chota,Mujer,19,SI,8
Cajamarca,Chota,Chota,Mujer,19,NO,101
Cajamarca,Chota,Chota,Mujer,19,NE,376
Cajamarca,Chota,Chota,Mujer,20,SI,10
Cajamarca,Chota,Chota,Mujer,20,NO,86
Cajamarca,Chota,Chota,Mujer,20,NE,322
Cajamarca,Chota,Chota,Mujer,21,SI,19
Cajamarca,Chota,Chota,Mujer,21,NO,133
Cajamarca,Chota,Chota,Mujer,21,NE,291
Cajamarca,Chota,Chota,Mujer,22,SI,13
Cajamarca,Chota,Chota,Mujer,22,NO,156
Cajamarca,Chota,Chota,Mujer,22,NE,268
Cajamarca,Chota,Chota,Mujer,23,SI,24
Cajamarca,Chota,Chota,Mujer,23,NO,178
Cajamarca,Chota,Chota,Mujer,23,NE,261
Cajamarca,Chota,Chota,Mujer,24,SI,20
Cajamarca,Chota,Chota,Mujer,24,NO,196
Cajamarca,Chota,Chota,Mujer,24,NE,260
Cajamarca,Chota,Chota,Mujer,25,SI,36
Cajamarca,Chota,Chota,Mujer,25,NO,300
Cajamarca,Chota,Chota,Mujer,25,NE,131
Cajamarca,Chota,Huambos,Hombre,18,SI,1
Cajamarca,Chota,Huambos,Hombre,18,NO,18
Cajamarca,Chota,Huambos,Hombre,18,NE,74
Cajamarca,Chota,Huambos,Hombre,19,SI,1
Cajamarca,Chota,Huambos,Hombre,19,NO,21
Cajamarca,Chota,Huambos,Hombre,19,NE,55
Cajamarca,Chota,Huambos,Hombre,20,NO,17
Cajamarca,Chota,Huambos,Hombre,20,NE,62
Cajamarca,Chota,Huambos,Hombre,21,SI,1
Cajamarca,Chota,Huambos,Hombre,21,NO,23
Cajamarca,Chota,Huambos,Hombre,21,NE,60
Cajamarca,Chota,Huambos,Hombre,22,SI,2
Cajamarca,Chota,Huambos,Hombre,22,NO,23
Cajamarca,Chota,Huambos,Hombre,22,NE,39
Cajamarca,Chota,Huambos,Hombre,23,SI,2
Cajamarca,Chota,Huambos,Hombre,23,NO,27
